Curso,Período,Turno
Tecnólogo em Análise e Desenvolvimento de Sistemas,1,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,1,Noite
Tecnólogo em Análise e Desenvolvimento de Sistemas,2,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,2,Noite
Tecnólogo em Análise e Desenvolvimento de Sistemas,3,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,3,Noite
Tecnólogo em Análise e Desenvolvimento de Sistemas,4,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,4,Noite
Tecnólogo em Análise e Desenvolvimento de Sistemas,5,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,5,Noite
Tecnólogo em Análise e Desenvolvimento de Sistemas,6,Tarde
Tecnólogo em Análise e Desenvolvimento de Sistemas,6,Noite
Bacharelado em Administração,1,Noite
Bacharelado em Administração,2,Noite
Bacharelado em Administração,3,Noite
Bacharelado em Administração,4,Noite
Bacharelado em Administração,5,Noite
Bacharelado em Administração,6,Noite
Bacharelado em Administração,7,Noite
Bacharelado em Administração,8,Noite
